Number of Bus,Name of Bus,ID,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111194,CYPRESS 54 6,1,Closed,49.17,8.94,28.41,57,YES,5,9.94,0.0024,4.5,3.388,0,YES,111194,NG (Natural Gas),1.04,-16.85,29.01,YES,57,Piecewise Linear
111195,CYPRESS 54 7,1,Closed,49.17,5.73,24.09,57,YES,5,9.9,0.003,4.5,3.192,0,YES,111195,NG (Natural Gas),1.04,-16.91,29.01,YES,57,Piecewise Linear
111196,CYPRESS 54 8,1,Closed,49.17,7.51,14.15,57,YES,5,9.94,0.0023,4.5,3.05,0,YES,111196,NG (Natural Gas),1.04,-15.26,29.01,YES,57,Piecewise Linear
111197,CYPRESS 54 9,1,Closed,49.17,5.05,13.05,57,YES,5,10.01,0.0012,4.5,3.276,0,YES,111197,NG (Natural Gas),1.04,-18.09,29.01,YES,57,Piecewise Linear
111198,CYPRESS 54 10,1,Closed,49.17,5.02,13.03,57,YES,5,10.02,0.001,4.5,3.01,0,YES,111198,NG (Natural Gas),1.04,-17.45,29.01,YES,57,Piecewise Linear
111199,CYPRESS 54 11,1,Closed,43.14,4.83,25.07,57,YES,5,10,0.0013,4.5,3.273,0,YES,111199,NG (Natural Gas),1.04,-18.57,29.01,YES,57,Piecewise Linear
111200,CYPRESS 54 12,1,Closed,44.26,7.35,25.87,58,YES,5,26.22,0.001,5,3.434,0,YES,111200,NG (Natural Gas),1.04,-15.64,29.52,YES,58,Piecewise Linear
111201,CYPRESS 54 13,1,Closed,50.03,4.64,25.9,58,YES,5,26.16,0.002,5,3.044,0,YES,111201,NG (Natural Gas),1.04,-14.74,29.52,YES,58,Piecewise Linear
111202,CYPRESS 54 14,1,Closed,50.03,5.57,10.82,58,YES,5,26.19,0.0015,5,3.153,0,YES,111202,NG (Natural Gas),1.04,-16.54,29.52,YES,58,Piecewise Linear
111203,CYPRESS 54 15,1,Closed,50.03,8.9,8.97,58,YES,5,26.21,0.0012,5,3.048,0,YES,111203,NG (Natural Gas),1.04,-15.65,29.52,YES,58,Piecewise Linear
111204,CYPRESS 54 16,1,Closed,36.08,7.07,17.69,58,YES,5,26.22,0.0011,5,3.442,0,YES,111204,NG (Natural Gas),1.04,-16.45,29.52,YES,58,Piecewise Linear
111205,CYPRESS 54 17,1,Closed,45.14,7.16,26.75,58,YES,5,26.18,0.0018,5,3.553,0,YES,111205,NG (Natural Gas),1.04,-19.79,29.52,YES,58,Piecewise Linear
111206,CYPRESS 54 18,1,Open,0,0,3.03,13,YES,5,26.25,0.0026,5,2.864,0,YES,111206,NG (Natural Gas),1.04,-3.8,6.62,YES,13,Piecewise Linear
111208,THOMPSONS 6 2,1,Closed,572.78,3.33,149.2,664,YES,5,9.79,0.001,3,1.7,0,YES,111207,SUB (Subbituminous Coal),1.04,-167.63,309.42,YES,664,Piecewise Linear
111209,THOMPSONS 6 3,1,Closed,571.92,3.33,76.51,663,YES,5,10.97,0.0009,3,1.7,0,YES,111207,SUB (Subbituminous Coal),1.04,-223.78,308.96,YES,663,Piecewise Linear
111210,THOMPSONS 6 4,1,Open,0,0,224.35,610,YES,5,8.97,0.003,3,1.7,0,YES,111207,SUB (Subbituminous Coal),1.04,-206.12,284.26,YES,610,Piecewise Linear
111211,THOMPSONS 6 5,1,Open,0,0,183.07,577,YES,5,9.16,0.0016,3,1.7,0,YES,111207,SUB (Subbituminous Coal),1.04,-194.27,268.88,YES,577,Piecewise Linear
111212,THOMPSONS 6 6,1,Open,0,0,1.49,13,YES,5,8.38,0.0008,5,3.487,0,YES,111212,NG (Natural Gas),1.04,-3.76,6.62,YES,13,Piecewise Linear
111212,THOMPSONS 6 6,2,Closed,476.17,3.33,165.98,552,YES,5,11.08,0.001,4,2.833,0,YES,111207,NG (Natural Gas),1.04,-182.79,280.97,YES,552,Piecewise Linear
111213,THOMPSONS 6 7,1,Closed,235.5,3.33,34.5,273,YES,5,12.05,0.0029,4,3.04,0,YES,111207,NG (Natural Gas),1.04,-70.38,138.96,YES,273,Piecewise Linear
111214,THOMPSONS 6 8,1,Closed,145.78,0.45,44.2,169,YES,5,12.74,0.0017,4,3.008,0,YES,111214,NG (Natural Gas),1.04,-58.46,86.02,YES,169,Piecewise Linear
111215,THOMPSONS 6 9,1,Closed,145.78,3.33,29.81,169,YES,5,13.28,0.0023,4,2.871,0,YES,111207,NG (Natural Gas),1.04,-49.07,86.02,YES,169,Piecewise Linear
111217,ELMATON 3 2,1,Closed,1104.16,65.3,201.18,1280,YES,5,8.29,0.002,4,0.75,0,YES,111216,NUC (Nuclear),1.039,-365.47,471.04,YES,1280,Piecewise Linear
111218,ELMATON 3 3,1,Closed,1104.16,65.3,178.29,1280,YES,5,7.51,0.002,4,0.75,0,YES,111216,NUC (Nuclear),1.039,-382.86,471.04,YES,1280,Piecewise Linear
111220,LA PORTE 9 2,1,Closed,60.57,13.1,34.89,81,YES,5,13.47,0.0018,5,3.389,0,YES,111220,NG (Natural Gas),1.04,-21.32,41.23,YES,81,Piecewise Linear
111221,LA PORTE 9 3,1,Closed,69.87,14.04,13.8,81,YES,5,13.37,0.003,5,3.105,0,YES,111221,NG (Natural Gas),1.04,-21.95,41.23,YES,81,Piecewise Linear
111223,LIVERPOOL 4 2,1,Open,0,0,3.97,30,YES,5,5.21,0.002,5,3.092,0,YES,111223,NG (Natural Gas),1.04,-10.32,15.27,YES,30,Piecewise Linear
111231,SEABROOK 8 2,1,Closed,64.7,20.26,20.03,75,YES,5,5.1,0.0002,5,3.004,0,YES,111231,NG (Natural Gas),1.04,-25.11,38.17,YES,75,Piecewise Linear
111232,SEABROOK 8 3,1,Closed,31.27,19.91,7.5,75,YES,5,4.91,0.0027,5,3.29,0,YES,111232,NG (Natural Gas),1.04,-25.04,38.17,YES,75,Piecewise Linear
111233,SEABROOK 8 4,1,Closed,64.7,13.21,27.46,75,YES,5,5.09,0.0003,5,2.855,0,YES,111233,NG (Natural Gas),1.04,-22.4,38.17,YES,75,Piecewise Linear
111234,SEABROOK 8 5,1,Closed,43.08,18.53,19.31,75,YES,5,8.64,0.0024,0,3.438,0,YES,111234,NG (Natural Gas),1.04,-20.5,38.17,YES,75,Piecewise Linear
111237,LIVERPOOL 5 3,1,Closed,30.86,19.3,17.39,42.5,YES,5,5.25,0.0011,0,3.604,0,YES,111237,OG (Other Gas),1.04,-10.78,21.63,YES,42.5,Piecewise Linear
111241,BAYTOWN 11 2,2,Open,0,0,13.43,28,YES,5,5.31,0.0016,5,3.528,0,YES,111241,NG (Natural Gas),1.04,-8.08,14.25,YES,28,Piecewise Linear
111242,BAYTOWN 11 3,1,Open,0,0,12.12,28,YES,5,5.3,0.002,5,2.986,0,YES,111242,NG (Natural Gas),1.04,-9.25,14.25,YES,28,Piecewise Linear
111242,BAYTOWN 11 3,2,Open,0,0,5.59,18,YES,5,5.31,0.0022,5,3.449,0,YES,111242,NG (Natural Gas),1.04,-5.82,9.16,YES,18,Piecewise Linear
111243,BAYTOWN 11 4,1,Open,0,0,5.77,18,YES,5,5.31,0.0023,5,3.298,0,YES,111243,NG (Natural Gas),1.04,-5.59,9.16,YES,18,Piecewise Linear
111243,BAYTOWN 11 4,2,Open,0,0,1.93,18,YES,5,5.34,0.001,5,3.323,0,YES,111243,NG (Natural Gas),1.04,-6.07,9.16,YES,18,Piecewise Linear
111244,BAYTOWN 11 5,1,Open,0,0,2.1,18,YES,5,5.34,0.0006,5,3.421,0,YES,111244,NG (Natural Gas),1.04,-6.13,9.16,YES,18,Piecewise Linear
111246,BAYTOWN 12 2,1,Closed,112.76,71.15,68.38,140,YES,5,5.07,0.0021,5,3.403,0,YES,111246,NG (Natural Gas),1.04,-39.11,71.26,YES,140,Piecewise Linear
111247,BAYTOWN 12 3,1,Closed,77.64,43,36.59,90,YES,5,5.33,0.0004,5,3.265,0,YES,111247,NG (Natural Gas),1.04,-22.96,45.81,YES,90,Piecewise Linear
111248,BAYTOWN 12 4,1,Open,0,0,14.6,32,YES,5,5.33,0.0009,5,3.393,0,YES,111248,NG (Natural Gas),1.04,-9.57,16.29,YES,32,Piecewise Linear
111249,BAYTOWN 12 5,1,Open,0,0,14.84,32,YES,5,5.27,0.0028,5,3.102,0,YES,111249,NG (Natural Gas),1.04,-10.33,16.29,YES,32,Piecewise Linear
111249,BAYTOWN 12 5,2,Open,0,0,11.82,32,YES,5,5.31,0.0018,5,3.225,0,YES,111249,NG (Natural Gas),1.04,-9.32,16.29,YES,32,Piecewise Linear
111251,DEER PARK 12 2,1,Closed,56.93,14.96,12.15,66,YES,5,5.53,0.002,4.5,3.249,0,YES,111251,NG (Natural Gas),1.04,-22.39,33.59,YES,66,Piecewise Linear
111252,DEER PARK 12 3,1,Closed,41.15,15.36,20.23,66,YES,5,5.54,0.0018,4.5,3.507,0,YES,111252,NG (Natural Gas),1.04,-20.06,33.59,YES,66,Piecewise Linear
111253,DEER PARK 12 4,1,Closed,38.91,14.88,19.26,62,YES,5,5.5,0.0025,4.5,3.707,0,YES,111253,NG (Natural Gas),1.04,-19.86,31.56,YES,62,Piecewise Linear
111254,DEER PARK 12 5,1,Closed,59.52,13.18,10.92,69,YES,5,5.5,0.0023,4.5,3.239,0,YES,111254,NG (Natural Gas),1.04,-18.26,35.12,YES,69,Piecewise Linear
111260,BOLING 1 2,1,Closed,47.8,35.12,25.93,69,YES,5,13.57,0.0023,5,3.296,0,YES,111260,NG (Natural Gas),1.04,-22.98,35.12,YES,69,Piecewise Linear
111262,TEXAS CITY 6 2,1,Open,0,0,14.26,38,YES,5,9.19,0.001,3,5,0,YES,111262,PUR (Purchased Steam),1.04,-12.05,13.04,YES,38,Piecewise Linear
111264,GALENA PARK 19 2,1,Open,0,0,9.49,35,YES,5,5.46,0.0025,4,2.932,0,YES,111264,NG (Natural Gas),1.04,-9.49,17.81,YES,35,Piecewise Linear
111266,DEER PARK 13 2,1,Closed,20.67,10.4,6.4,45,YES,5,5.67,0.001,3,5,0,YES,111266,PUR (Purchased Steam),1.04,-15.71,16.83,YES,45,Piecewise Linear
111266,DEER PARK 13 2,2,Closed,25.37,10.4,11.11,45,YES,5,5.67,0.001,3,5,0,YES,111266,PUR (Purchased Steam),1.04,-13.58,14.24,YES,45,Piecewise Linear
111267,DEER PARK 13 3,1,Closed,64.7,32.49,24.7,75,YES,5,9.61,0.0026,3,2.969,0,YES,111267,OG (Other Gas),1.04,-20.63,38.17,YES,75,Piecewise Linear
111268,DEER PARK 13 4,1,Closed,60.38,23.38,34.86,70,YES,5,9.66,0.002,3,3.125,0,YES,111268,OG (Other Gas),1.04,-18.38,35.63,YES,70,Piecewise Linear
111270,CHANNELVIEW 13 2,1,Closed,96.97,55.14,58.9,120.1,YES,5,5.37,0.0015,4.5,3.016,0,YES,111269,NG (Natural Gas),1.037,-37.48,61.13,YES,120.1,Piecewise Linear
111271,CHANNELVIEW 13 3,1,Closed,52.29,9.85,30.42,69,YES,5,5.44,0.0016,4.5,3.289,0,YES,111271,NG (Natural Gas),1.04,-17.45,35.12,YES,69,Piecewise Linear
111272,CHANNELVIEW 13 4,1,Closed,60.21,7.44,32.31,69.8,YES,5,5.4,0.0021,4.5,3.062,0,YES,111272,NG (Natural Gas),1.04,-23.45,35.53,YES,69.8,Piecewise Linear
111273,CHANNELVIEW 13 5,1,Closed,33.42,25.35,11.29,69.8,YES,5,5.48,0.0009,4.5,3.516,0,YES,111273,NG (Natural Gas),1.04,-24.08,35.53,YES,69.8,Piecewise Linear
111274,CHANNELVIEW 13 6,1,Closed,42.19,4.94,19.97,70.1,YES,5,5.35,0.0028,4.5,3.282,0,YES,111274,NG (Natural Gas),1.04,-18.43,35.68,YES,70.1,Piecewise Linear
111275,CHANNELVIEW 13 7,1,Closed,60.38,14.82,8.34,70,YES,5,5.45,0.0014,4.5,3.282,0,YES,111275,NG (Natural Gas),1.04,-20.08,35.63,YES,70,Piecewise Linear
111276,CHANNELVIEW 13 8,1,Closed,59,6.72,21.65,68.4,YES,5,5.52,0.0004,4.5,3.136,0,YES,111276,NG (Natural Gas),1.04,-17.9,34.82,YES,68.4,Piecewise Linear
111280,TEXAS CITY 7 2,1,Closed,86.32,7.44,42.26,139,YES,5,5.36,0.0026,4.5,3.285,0,YES,111280,NG (Natural Gas),1.04,-35.41,70.75,YES,139,Piecewise Linear
111281,TEXAS CITY 7 3,1,Closed,89.71,7.12,37.35,104,YES,5,5.66,0.0006,4.5,3.08,0,YES,111281,NG (Natural Gas),1.04,-26.52,52.94,YES,104,Piecewise Linear
111282,TEXAS CITY 7 4,1,Closed,89.71,7.08,32.22,104,YES,5,5.65,0.0007,4.5,3.023,0,YES,111282,NG (Natural Gas),1.04,-29.59,52.94,YES,104,Piecewise Linear
111283,TEXAS CITY 7 5,1,Closed,89.71,6,13.48,104,YES,5,5.7,0.0002,4.5,3.071,0,YES,111283,NG (Natural Gas),1.04,-28.22,52.94,YES,104,Piecewise Linear
111286,CLUTE 5 3,1,Closed,53.44,8.86,23.14,95.6,YES,5,5.35,0.0013,4.5,3.4062,0,YES,111286,NG (Natural Gas),1.04,-32.33,48.66,YES,95.6,Piecewise Linear
111287,CLUTE 5 4,1,Closed,63.17,5.02,32.87,95.6,YES,5,5.24,0.0025,4.5,3.286,0,YES,111287,NG (Natural Gas),1.04,-24.43,48.66,YES,95.6,Piecewise Linear
111288,CLUTE 5 5,1,Closed,82.12,4.49,46.3,95.2,YES,5,5.42,0.0006,4.5,3.153,0,YES,111288,NG (Natural Gas),1.04,-26.93,48.46,YES,95.2,Piecewise Linear
111289,CLUTE 5 6,1,Closed,48.08,4.69,26.43,68.3,YES,5,5.33,0.0021,4.5,3.311,0,YES,111289,NG (Natural Gas),1.04,-19.32,34.76,YES,68.3,Piecewise Linear
111290,CLUTE 5 7,1,Closed,55.01,4.18,33.36,68.3,YES,5,5.37,0.0016,4.5,3.39,0,YES,111290,NG (Natural Gas),1.04,-18.6,34.76,YES,68.3,Piecewise Linear
111291,CLUTE 5 8,1,Open,0,0,15.74,35,YES,5,5.42,0.0017,4.5,2.998,0,YES,111291,NG (Natural Gas),1.04,-10.98,17.81,YES,35,Piecewise Linear
111292,CLUTE 5 9,1,Closed,51.07,7.14,24.7,59.2,YES,5,8.2,0.0026,5,3.158,0,YES,111292,NG (Natural Gas),1.04,-19.35,30.13,YES,59.2,Piecewise Linear
111295,TEXAS CITY 8 3,1,Closed,59.52,18.58,16.48,69,YES,5,7.2,0.0002,4.5,3.336,0,YES,111295,NG (Natural Gas),1.04,-18.16,35.12,YES,69,Piecewise Linear
111296,TEXAS CITY 8 4,1,Closed,59.52,7.52,22.97,69,YES,5,7.08,0.002,4.5,3.181,0,YES,111296,NG (Natural Gas),1.04,-21.25,35.12,YES,69,Piecewise Linear
111297,TEXAS CITY 8 5,1,Open,0,0,5.19,34,YES,5,7.18,0.0009,4.5,2.804,0,YES,111297,NG (Natural Gas),1.04,-9.12,17.31,YES,34,Piecewise Linear
111301,FREEPORT 2 2,1,Closed,79.64,9.41,28.92,160,YES,5,5.59,0.0027,4.5,3.433,0,YES,111301,NG (Natural Gas),1.04,-54.23,81.44,YES,160,Piecewise Linear
111302,FREEPORT 2 3,1,Closed,62.97,6.35,30.33,73,YES,5,5.92,0.0014,4.5,3.063,0,YES,111302,NG (Natural Gas),1.04,-21.88,37.16,YES,73,Piecewise Linear
111303,FREEPORT 2 4,1,Closed,43.91,7,20.77,73,YES,5,5.95,0.001,4.5,3.35,0,YES,111303,NG (Natural Gas),1.04,-24.81,37.16,YES,73,Piecewise Linear
111304,FREEPORT 2 5,1,Closed,62.97,5.67,24.52,73,YES,5,6.01,0.0002,4.5,3.095,0,YES,111304,NG (Natural Gas),1.04,-21.09,37.16,YES,73,Piecewise Linear
111306,SWEENY 5 2,1,Closed,60.88,0.99,26.33,109,YES,5,7.03,0.0007,5,3.489,0,YES,111306,NG (Natural Gas),1.04,-36.09,55.48,YES,109,Piecewise Linear
111307,SWEENY 5 3,1,Closed,94.03,55.48,27.46,109,YES,5,6.89,0.002,5,3.408,0,YES,111305,NG (Natural Gas),1.041,-30.52,55.48,YES,109,Piecewise Linear
111308,SWEENY 5 4,1,Closed,81.45,1.46,46.9,109,YES,5,6.98,0.0012,5,3.471,0,YES,111308,NG (Natural Gas),1.04,-34.66,55.48,YES,109,Piecewise Linear
111309,SWEENY 5 5,1,Closed,94.03,1.39,47.78,109,YES,5,6.8,0.0028,5,3.255,0,YES,111309,NG (Natural Gas),1.04,-37.92,55.48,YES,109,Piecewise Linear
111312,PASADENA 7 3,1,Closed,69.13,19.89,16.83,165,YES,5,6.36,0.001,4.5,3.311,0,YES,111312,NG (Natural Gas),1.04,-47.1,83.99,YES,165,Piecewise Linear
111313,PASADENA 7 4,1,Closed,142.33,-6.92,49.54,165,YES,5,6.47,0.0003,4.5,2.618,0,YES,111310,NG (Natural Gas),1.037,-51.29,83.99,YES,165,Piecewise Linear
111314,PASADENA 7 5,1,Closed,142.33,-6.92,71.73,165,YES,5,6.42,0.0006,4.5,3.099,0,YES,111310,NG (Natural Gas),1.037,-53.86,83.99,YES,165,Piecewise Linear
111315,PASADENA 7 6,1,Closed,142.33,-6.92,58.52,165,YES,5,6.36,0.001,4.5,3.116,0,YES,111310,NG (Natural Gas),1.037,-47.67,83.99,YES,165,Piecewise Linear
111316,PASADENA 7 7,1,Closed,51.76,7.14,8.55,60,YES,5,6.46,0.001,4.5,2.862,0,YES,111316,NG (Natural Gas),1.04,-16.52,30.54,YES,60,Piecewise Linear
111318,CHANNELVIEW 14 2,1,Closed,89.29,9.48,37.94,162,YES,5,5.49,0.0019,4.5,3.643,0,YES,111318,NG (Natural Gas),1.04,-48.35,82.46,YES,162,Piecewise Linear
111319,CHANNELVIEW 14 3,1,Closed,139.75,-31.65,69.97,162,YES,5,5.76,0.0002,4.5,3.146,0,YES,111317,NG (Natural Gas),1.037,-46.29,82.46,YES,162,Piecewise Linear
111320,CHANNELVIEW 14 4,1,Closed,140.61,12.26,59.93,163,YES,5,5.68,0.0007,4.5,3.255,0,YES,111320,NG (Natural Gas),1.04,-54.72,82.97,YES,163,Piecewise Linear
111321,CHANNELVIEW 14 5,1,Closed,93.38,14.25,42.35,161,YES,5,5.35,0.0028,4.5,3.293,0,YES,111321,NG (Natural Gas),1.04,-42.94,81.95,YES,161,Piecewise Linear
111322,CHANNELVIEW 14 6,1,Closed,117.32,8.44,63.29,136,YES,5,5.44,0.0026,4.5,2.958,0,YES,111322,NG (Natural Gas),1.04,-34.05,69.22,YES,136,Piecewise Linear
111324,GALENA PARK 21 2,1,Closed,150.56,109.43,82.41,215,YES,5,4.18,0.0019,4.5,3.552,0,YES,111323,NG (Natural Gas),1.04,-65.43,109.43,YES,215,Piecewise Linear
111325,GALENA PARK 21 3,1,Closed,159.59,6.73,90.78,185,YES,5,4.24,0.0019,4.5,3.085,0,YES,111325,NG (Natural Gas),1.04,-54.86,94.16,YES,185,Piecewise Linear
111326,GALENA PARK 21 4,1,Closed,159.59,5.88,44.07,185,YES,5,4.18,0.0022,4.5,3.304,0,YES,111326,NG (Natural Gas),1.04,-53.28,94.16,YES,185,Piecewise Linear
111327,GALENA PARK 21 5,1,Closed,157.86,5.59,66.98,183,YES,5,4.37,0.0012,4.5,2.732,0,YES,111327,NG (Natural Gas),1.04,-46.34,93.15,YES,183,Piecewise Linear
111329,CLUTE 6 2,1,Open,0,0,5.26,11.7,YES,5,6.83,0.002,3,3,0,YES,111329,WH (Waste Heat),1.04,-4.02,5.48,YES,11.7,Piecewise Linear
111330,CLUTE 6 3,1,Closed,64.7,21.75,9.54,75,YES,5,5.35,0.0014,5,3.089,0,YES,111330,NG (Natural Gas),1.04,-21.38,38.17,YES,75,Piecewise Linear
111333,BAYTOWN 13 2,1,Closed,110.38,-0.43,110.38,275,YES,5,5.37,0.0024,4.5,3.188,0,YES,111333,NG (Natural Gas),1.04,-95.08,139.97,YES,275,Piecewise Linear
111334,BAYTOWN 13 3,1,Closed,150.96,0.26,74.33,175,YES,5,5.7,0.0019,4.5,2.998,0,YES,111334,NG (Natural Gas),1.04,-45.43,89.07,YES,175,Piecewise Linear
111335,BAYTOWN 13 4,1,Open,0,0,77.27,175,YES,5,5.94,0.0005,4.5,3.049,0,YES,111335,NG (Natural Gas),1.04,-56.3,89.07,YES,175,Piecewise Linear
111336,BAYTOWN 13 5,1,Closed,121.52,0.46,38.81,175,YES,5,5.5,0.003,4.5,3.204,0,YES,111336,NG (Natural Gas),1.04,-50.6,89.07,YES,175,Piecewise Linear
111339,THOMPSONS 7 3,1,Closed,166.49,57.01,95.32,193,YES,5,8.28,0.0015,0,3.137,0,YES,111337,NG (Natural Gas),1.039,-62.61,98.24,YES,193,Piecewise Linear
111340,THOMPSONS 7 4,1,Closed,123.45,3.44,37.65,166,YES,5,8.32,0.0029,0,3.23,0,YES,111340,NG (Natural Gas),1.04,-50.27,84.49,YES,166,Piecewise Linear
111341,THOMPSONS 7 5,1,Closed,143.2,57.01,44.21,166,YES,5,8.41,0.0004,0,3.258,0,YES,111337,NG (Natural Gas),1.039,-54.88,84.49,YES,166,Piecewise Linear
111343,LA PORTE 10 2,1,Closed,32.78,9.43,10.31,38,YES,5,13.11,0.0012,5,2.864,0,YES,111343,NG (Natural Gas),1.04,-11.83,19.34,YES,38,Piecewise Linear
111344,LA PORTE 10 3,1,Closed,32.78,6.17,18.13,38,YES,5,13.08,0.0018,5,3.026,0,YES,111344,NG (Natural Gas),1.04,-10.22,19.34,YES,38,Piecewise Linear
111344,LA PORTE 10 3,2,Closed,17.12,6.17,5.07,38,YES,5,13.06,0.0024,5,3.25,0,YES,111344,NG (Natural Gas),1.04,-10.69,19.34,YES,38,Piecewise Linear
111345,LA PORTE 10 4,1,Closed,32.78,19.34,6.14,38,YES,5,13.04,0.003,5,2.931,0,YES,111345,NG (Natural Gas),1.04,-10.52,19.34,YES,38,Piecewise Linear
111347,DEER PARK 14 2,1,Closed,126.9,48.64,37.51,282,YES,5,5.72,0.0008,4.5,3.706,0,YES,111346,NG (Natural Gas),1.038,-92.95,143.54,YES,282,Piecewise Linear
111348,DEER PARK 14 3,1,Closed,77.92,7.12,24.1,169.8,YES,5,5.52,0.0025,4.5,3.414,0,YES,111348,NG (Natural Gas),1.04,-52.35,86.43,YES,169.8,Piecewise Linear
111349,DEER PARK 14 4,1,Closed,74.45,10.24,20.63,169.8,YES,5,5.83,0.0007,4.5,3.212,0,YES,111349,NG (Natural Gas),1.04,-49.18,86.43,YES,169.8,Piecewise Linear
111350,DEER PARK 14 5,1,Closed,89.28,8.69,35.46,169.8,YES,5,5.61,0.002,4.5,3.377,0,YES,111350,NG (Natural Gas),1.04,-44.44,86.43,YES,169.8,Piecewise Linear
111351,DEER PARK 14 6,1,Closed,146.47,12.87,32.88,169.8,YES,5,5.74,0.0012,4.5,3.144,0,YES,111351,NG (Natural Gas),1.04,-47.08,86.43,YES,169.8,Piecewise Linear
111352,DEER PARK 14 7,1,Closed,115.44,48.64,66.37,154.8,YES,5,8.52,0.0004,0,3.264,0,YES,111346,NG (Natural Gas),1.038,-53.15,78.79,YES,154.8,Piecewise Linear
111354,TEXAS CITY 9 2,1,Closed,64.7,11,9.55,75,YES,5,5.28,0.0013,4.5,3.103,0,YES,111354,NG (Natural Gas),1.04,-20.54,38.17,YES,75,Piecewise Linear
111355,TEXAS CITY 9 3,1,Closed,89.14,7.81,39.06,158,YES,5,5.22,0.001,4.5,3.167,0,YES,111355,NG (Natural Gas),1.04,-43.08,80.42,YES,158,Piecewise Linear
111356,TEXAS CITY 9 4,1,Closed,94.31,80.42,44.23,158,YES,5,5.15,0.0014,4.5,3.565,0,YES,111353,NG (Natural Gas),1.039,-51.16,80.42,YES,158,Piecewise Linear
111357,TEXAS CITY 9 5,1,Closed,71.4,13.06,21.32,158,YES,5,5.36,0.0001,4.5,3.336,0,YES,111357,NG (Natural Gas),1.04,-45.23,80.42,YES,158,Piecewise Linear
111358,TEXAS CITY 9 6,1,Closed,56.63,8.17,32.86,75,YES,5,5.31,0.0008,4.5,3.227,0,YES,111358,NG (Natural Gas),1.04,-19.95,38.17,YES,75,Piecewise Linear
111360,CLUTE 7 2,1,Closed,90.05,61.08,36.35,169.4,YES,5,4.1,0.0025,4.5,3.291,0,YES,111359,NG (Natural Gas),1.035,-56.22,86.22,YES,169.4,Piecewise Linear
111361,CLUTE 7 3,1,Closed,43.13,9.96,22.87,50,YES,5,4.44,0.0016,4.5,3.076,0,YES,111361,NG (Natural Gas),1.04,-16.43,25.45,YES,50,Piecewise Linear
111364,WHARTON 3 3,1,Closed,84.54,-0.12,44.23,98,YES,5,8.39,0.0009,4.5,3.164,0,YES,111364,NG (Natural Gas),1.04,-32.77,49.88,YES,98,Piecewise Linear
