Substation Latitude,Substation Longitude,Number,Sub Name,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
29.2599,-96.2944,110028,EL CAMPO 2,EL CAMPO 2 4,Coast,1,1.02607,1.026,-6.83,,,,,,0,0,7,1
29.2996,-96.1336,110029,WHARTON 1,WHARTON 1 1,Coast,138,1.02792,141.853,-8.72,7.7,2.03,,,,0,0,7,1
29.2996,-96.1336,110030,WHARTON 1,WHARTON 1 2,Coast,13.8,1.02792,14.185,-8.72,,,,,,0,0,7,1
29.2996,-96.1336,110031,WHARTON 1,WHARTON 1 3,Coast,13.8,1.02792,14.185,-8.72,,,,,,0,0,7,1
29.2996,-96.1336,110032,WHARTON 1,WHARTON 1 4,Coast,1,1.02792,1.028,-8.72,,,,,,0,0,7,1
28.8052,-95.6462,110033,CEDAR LANE 1,CEDAR LANE 1 1,Coast,138,1.01648,140.275,-10.44,7.5,1.8,,,,0,0,7,1
28.8052,-95.6462,110034,CEDAR LANE 1,CEDAR LANE 1 2,Coast,13.8,1.01648,14.027,-10.44,,,,,,0,0,7,1
28.8052,-95.6462,110035,CEDAR LANE 1,CEDAR LANE 1 3,Coast,13.8,1.01648,14.027,-10.44,,,,,,0,0,7,1
28.8052,-95.6462,110036,CEDAR LANE 1,CEDAR LANE 1 4,Coast,1,1.01648,1.016,-10.44,,,,,,0,0,7,1
29.437,-96.4084,110037,NADA 1,NADA 1 1,Coast,138,1.03246,142.48,-7.93,4.25,0.68,,,,0,0,7,1
29.437,-96.4084,110038,NADA 1,NADA 1 2,Coast,13.8,1.03246,14.248,-7.93,,,,,,0,0,7,1
29.437,-96.4084,110039,NADA 1,NADA 1 3,Coast,13.8,1.03246,14.248,-7.93,,,,,,0,0,7,1
29.437,-96.4084,110040,NADA 1,NADA 1 4,Coast,1,1.03246,1.032,-7.93,,,,,,0,0,7,1
29.449,-96.296,110041,EGYPT 1,EGYPT 1 1,Coast,138,1.0306,142.223,-5.9,2.56,0.53,,,,0,0,7,1
29.449,-96.296,110042,EGYPT 1,EGYPT 1 2,Coast,24,1.0306,24.734,-5.9,,,,,,0,0,7,1
29.449,-96.296,110043,EGYPT 1,EGYPT 1 3,Coast,24,1.0306,24.734,-5.9,,,,,,0,0,7,1
29.449,-96.296,110044,EGYPT 1,EGYPT 1 4,Coast,1,1.0306,1.031,-5.9,,,,,,0,0,7,1
29.2453,-96.4161,110045,LOUISE 1,LOUISE 1 1,Coast,138,1.02873,141.965,-8.19,1.73,0.53,,,,0,0,7,1
29.2453,-96.4161,110046,LOUISE 1,LOUISE 1 2,Coast,13.8,1.02873,14.196,-8.19,,,,,,0,0,7,1
29.2453,-96.4161,110047,LOUISE 1,LOUISE 1 3,Coast,13.8,1.02873,14.196,-8.19,,,,,,0,0,7,1
29.2453,-96.4161,110048,LOUISE 1,LOUISE 1 4,Coast,1,1.02873,1.029,-8.19,,,,,,0,0,7,1
29.0384,-96.493,110049,GANADO 1,GANADO 1 1,Coast,138,1.02468,141.406,-5.89,3.09,0.3,,,,0,0,7,1
29.0384,-96.493,110050,GANADO 1,GANADO 1 2,Coast,18,1.02468,18.444,-5.89,,,,,,0,0,7,1
29.0384,-96.493,110051,GANADO 1,GANADO 1 3,Coast,18,1.02468,18.444,-5.89,,,,,,0,0,7,1
29.0384,-96.493,110052,GANADO 1,GANADO 1 4,Coast,1,1.02468,1.025,-5.89,,,,,,0,0,7,1
29.1308,-96.455,110053,LOUISE 2,LOUISE 2 1,Coast,138,1.02614,141.607,-6.42,4.25,0.68,,,,0,0,7,1
29.1308,-96.455,110054,LOUISE 2,LOUISE 2 2,Coast,13.8,1.02614,14.161,-6.42,,,,,,0,0,7,1
29.1308,-96.455,110055,LOUISE 2,LOUISE 2 3,Coast,13.8,1.02614,14.161,-6.42,,,,,,0,0,7,1
29.1308,-96.455,110056,LOUISE 2,LOUISE 2 4,Coast,1,1.02614,1.026,-6.42,,,,,,0,0,7,1
29.0306,-96.3557,110057,LOUISE 3,LOUISE 3 1,Coast,138,1.02739,141.779,-7.22,0.61,0.21,,,,0,0,7,1
29.0306,-96.3557,110058,LOUISE 3,LOUISE 3 2,Coast,24,1.02739,24.657,-7.22,,,,,,0,0,7,1
29.0306,-96.3557,110059,LOUISE 3,LOUISE 3 3,Coast,24,1.02739,24.657,-7.22,,,,,,0,0,7,1
29.0306,-96.3557,110060,LOUISE 3,LOUISE 3 4,Coast,1,1.02739,1.027,-7.22,,,,,,0,0,7,1
29.3383,-96.315,110061,NADA 2,NADA 2 1,Coast,138,1.02771,141.824,-6.53,1.58,0.38,,,,0,0,7,1
29.3383,-96.315,110062,NADA 2,NADA 2 2,Coast,18,1.02771,18.499,-6.53,,,,,,0,0,7,1
29.3383,-96.315,110063,NADA 2,NADA 2 3,Coast,18,1.02771,18.499,-6.53,,,,,,0,0,7,1
29.3383,-96.315,110064,NADA 2,NADA 2 4,Coast,1,1.02771,1.028,-6.53,,,,,,0,0,7,1
29.3429,-95.9799,110065,KENDLETON 1,KENDLETON 1 1,Coast,138,1.02309,141.186,-12.11,3.24,1.05,,,,0,0,7,1
29.3429,-95.9799,110066,KENDLETON 1,KENDLETON 1 2,Coast,24,1.02309,24.554,-12.11,,,,,,0,0,7,1
29.3429,-95.9799,110067,KENDLETON 1,KENDLETON 1 3,Coast,24,1.02309,24.554,-12.11,,,,,,0,0,7,1
29.3429,-95.9799,110068,KENDLETON 1,KENDLETON 1 4,Coast,1,1.02309,1.023,-12.11,,,,,,0,0,7,1
29.1101,-95.9264,110069,PLEDGER 1,PLEDGER 1 1,Coast,138,1.02181,141.009,-9.69,10.4,2.26,,,,0,0,7,1
29.1101,-95.9264,110070,PLEDGER 1,PLEDGER 1 2,Coast,13.8,1.02181,14.101,-9.69,,,,,,0,0,7,1
29.1101,-95.9264,110071,PLEDGER 1,PLEDGER 1 3,Coast,13.8,1.02181,14.101,-9.69,,,,,,0,0,7,1
29.1101,-95.9264,110072,PLEDGER 1,PLEDGER 1 4,Coast,1,1.02181,1.022,-9.69,,,,,,0,0,7,1
29.145,-96.1938,110073,DANEVANG 1,DANEVANG 1 1,Coast,138,1.0256,141.532,-7.17,5.7,1.13,,,,0,0,7,1
29.145,-96.1938,110074,DANEVANG 1,DANEVANG 1 2,Coast,13.8,1.0256,14.153,-7.17,,,,,,0,0,7,1
29.145,-96.1938,110075,DANEVANG 1,DANEVANG 1 3,Coast,13.8,1.0256,14.153,-7.17,,,,,,0,0,7,1
29.145,-96.1938,110076,DANEVANG 1,DANEVANG 1 4,Coast,1,1.0256,1.026,-7.17,,,,,,0,0,7,1
29.0511,-96.1936,110077,DANEVANG 2,DANEVANG 2 1,Coast,138,1.02176,141.003,-8.02,2.41,0.45,,,,0,0,7,1
29.0511,-96.1936,110078,DANEVANG 2,DANEVANG 2 2,Coast,18,1.02176,18.392,-8.02,,,,,,0,0,7,1
29.0511,-96.1936,110079,DANEVANG 2,DANEVANG 2 3,Coast,18,1.02176,18.392,-8.02,,,,,,0,0,7,1
29.0511,-96.1936,110080,DANEVANG 2,DANEVANG 2 4,Coast,1,1.02176,1.022,-8.02,,,,,,0,0,7,1
28.9073,-96.1453,110081,ELMATON 1,ELMATON 1 1,Coast,138,1.01461,140.017,-4.14,4.7,0.22,,,,0,0,7,1
28.9073,-96.1453,110082,ELMATON 1,ELMATON 1 2,Coast,24,1.01461,24.351,-4.14,,,,,,0,0,7,1
28.9073,-96.1453,110083,ELMATON 1,ELMATON 1 3,Coast,24,1.01461,24.351,-4.14,,,,,,0,0,7,1
28.9073,-96.1453,110084,ELMATON 1,ELMATON 1 4,Coast,1,1.01461,1.015,-4.14,,,,,,0,0,7,1
28.9922,-95.8483,110085,BAY CITY 1,BAY CITY 1 1,Coast,138,1.02839,141.917,-9.32,4.07,1.05,,,,0,0,7,1
28.9922,-95.8483,110086,BAY CITY 1,BAY CITY 1 2,Coast,18,1.02839,18.511,-9.32,,,,,,0,0,7,1
28.9922,-95.8483,110087,BAY CITY 1,BAY CITY 1 3,Coast,18,1.02839,18.511,-9.32,,,,,,0,0,7,1
28.9922,-95.8483,110088,BAY CITY 1,BAY CITY 1 4,Coast,1,1.02839,1.028,-9.32,,,,,,0,0,7,1
28.7692,-96.2525,110089,PALACIOS 1,PALACIOS 1 1,Coast,138,1.02394,141.303,-2.36,3.89,0.38,,,,0,0,7,1
28.7692,-96.2525,110090,PALACIOS 1,PALACIOS 1 2,Coast,18,1.02394,18.431,-2.36,,,,,,0,0,7,1
28.7692,-96.2525,110091,PALACIOS 1,PALACIOS 1 3,Coast,18,1.02394,18.431,-2.36,,,,,,0,0,7,1
28.7692,-96.2525,110092,PALACIOS 1,PALACIOS 1 4,Coast,1,1.02394,1.024,-2.36,,,,,,0,0,7,1
28.931,-96.2976,110093,MIDFIELD 1,MIDFIELD 1 1,Coast,138,1.00954,139.316,-3.54,0.58,0.14,,,,0,0,7,1
28.931,-96.2976,110094,MIDFIELD 1,MIDFIELD 1 2,Coast,13.8,0.96506,13.318,-6.97,,,,,,0,0,7,1
28.931,-96.2976,110095,MIDFIELD 1,MIDFIELD 1 3,Coast,13.8,0.96506,13.318,-6.97,,,,,,0,0,7,1
28.931,-96.2976,110096,MIDFIELD 1,MIDFIELD 1 4,Coast,1,0.96506,0.965,-6.97,115,75.2,,,,0,0,7,1
28.8694,-96.1149,110097,ELMATON 2,ELMATON 2 1,Coast,138,1.01813,140.502,-4.53,1.95,0.45,,,,0,0,7,1
28.8694,-96.1149,110098,ELMATON 2,ELMATON 2 2,Coast,13.8,1.01813,14.05,-4.53,,,,,,0,0,7,1
28.8694,-96.1149,110099,ELMATON 2,ELMATON 2 3,Coast,13.8,1.01813,14.05,-4.53,,,,,,0,0,7,1
28.8694,-96.1149,110100,ELMATON 2,ELMATON 2 4,Coast,1,1.01813,1.018,-4.53,,,,,,0,0,7,1
28.7222,-96.1372,110101,PALACIOS 2,PALACIOS 2 1,Coast,138,1.03372,142.654,-1.64,0.99,0.3,,,28.42,0,0,7,1
28.7222,-96.1372,110102,PALACIOS 2,PALACIOS 2 2,Coast,13.8,1.03372,14.265,-1.64,,,,,,0,0,7,1
28.7222,-96.1372,110103,PALACIOS 2,PALACIOS 2 3,Coast,13.8,1.03372,14.265,-1.64,,,,,,0,0,7,1
28.7222,-96.1372,110104,PALACIOS 2,PALACIOS 2 4,Coast,1,1.03372,1.034,-1.64,,,,,,0,0,7,1
28.6712,-95.9678,110105,MATAGORDA 2,MATAGORDA 2 1,Coast,138,1.02797,141.86,-3.33,4.8,0.3,,,,0,0,7,1
28.6712,-95.9678,110106,MATAGORDA 2,MATAGORDA 2 2,Coast,18,1.02797,18.504,-3.33,,,,,,0,0,7,1
28.6712,-95.9678,110107,MATAGORDA 2,MATAGORDA 2 3,Coast,18,1.02797,18.504,-3.33,,,,,,0,0,7,1
28.6712,-95.9678,110108,MATAGORDA 2,MATAGORDA 2 4,Coast,1,1.02797,1.028,-3.33,,,,,,0,0,7,1
29.0912,-95.815,110109,SWEENY 1,SWEENY 1 1,Coast,138,1.03568,142.923,-10.63,0.09,0.01,,,39.58,0,0,7,1
29.0912,-95.815,110110,SWEENY 1,SWEENY 1 2,Coast,13.8,1.03568,14.292,-10.63,,,,,,0,0,7,1
29.0912,-95.815,110111,SWEENY 1,SWEENY 1 3,Coast,13.8,1.03568,14.292,-10.63,,,,,,0,0,7,1
29.0912,-95.815,110112,SWEENY 1,SWEENY 1 4,Coast,1,1.03568,1.036,-10.63,,,,,,0,0,7,1
29.1481,-96.6273,110113,EDNA 2,EDNA 2 1,Coast,138,1.0362,142.995,-3.69,0.66,0.22,,,,0,0,7,1
29.1481,-96.6273,110114,EDNA 2,EDNA 2 2,Coast,18,1.0362,18.652,-3.69,,,,,,0,0,7,1
29.1481,-96.6273,110115,EDNA 2,EDNA 2 3,Coast,18,1.0362,18.652,-3.69,,,,,,0,0,7,1
29.1481,-96.6273,110116,EDNA 2,EDNA 2 4,Coast,1,1.0362,1.036,-3.69,,,,,,0,0,7,1
29.029,-96.0895,110117,MARKHAM 1,MARKHAM 1 1,Coast,138,1.01379,139.903,-4.65,4.7,0.75,,,,0,0,7,1
29.4893,-96.3969,110118,ALTAIR 1,ALTAIR 1 1,Coast,138,1.02814,141.883,-8.98,0.63,0.22,,,,0,0,7,1
28.9498,-95.7616,110119,CEDAR LANE 2,CEDAR LANE 2 1,Coast,138,1.0164,140.263,-8.7,1.95,0.68,,,,0,0,7,1
28.9155,-95.9502,110120,BAY CITY 2,BAY CITY 2 1,Coast,138,1.02475,141.416,-5.87,2.18,0.6,,,,0,0,7,1
28.8077,-95.8324,110121,WADSWORTH 1,WADSWORTH 1 1,Coast,138,1.02214,141.055,-6.31,0.49,0.16,,,,0,0,7,1
28.9,-96.4378,110122,LA WARD 1,LA WARD 1 1,Coast,138,1.02421,141.342,-0.75,0.92,0.3,,,,0,0,7,1
29.4375,-96.1569,110123,HUNGERFORD 2,HUNGERFORD 2 1,Coast,138,1.00615,138.849,-13.42,111.14,79.15,,,,0,0,7,1
29.4023,-96.4856,110124,GARWOOD 1,GARWOOD 1 1,Coast,138,1.03781,143.218,-7.94,0.46,0.09,,,,0,0,7,1
29.1976,-96.0197,110125,LANE CITY 2,LANE CITY 2 1,Coast,138,1.02252,141.108,-9.86,26.8,4.33,,,,0,0,7,1
28.9119,-95.9883,110126,BAY CITY 3,BAY CITY 3 1,Coast,345,1.0353,357.178,-2.44,,,,,82.36,0,0,7,1
28.9119,-95.9883,110127,BAY CITY 3,BAY CITY 3 2,Coast,138,1.02695,141.72,-5.37,222.5,81.8,,,,0,0,7,1
29.1978,-96.2768,110128,EL CAMPO 3,EL CAMPO 3 1,Coast,138,1.02445,141.374,-7.2,41.4,6.7,,,,0,0,7,1
29.787,-95.928,110129,BROOKSHIRE 1,BROOKSHIRE 1 1,Coast,138,1.03048,142.206,-19.01,37.7,8.26,,,,0,0,7,1
29.5876,-96.3318,110130,EAGLE LAKE 1,EAGLE LAKE 1 1,Coast,138,1.02279,141.145,-10.75,10.3,1.13,,,,0,0,7,1
29.7747,-96.1596,110131,SEALY 1,SEALY 1 1,Coast,138,1.0352,142.858,-16.16,15.5,2.56,,,,0,0,7,1
29.3173,-96.0917,110132,WHARTON 2,WHARTON 2 1,Coast,138,1.02084,140.876,-11.42,100.5,9.37,,,,0,0,7,1
29.0388,-96.5128,110133,GANADO 2,GANADO 2 1,Coast,138,1.02422,141.342,-4.92,6.3,1.95,,,,0,0,7,1
29.1914,-96.2944,110134,EL CAMPO 4,EL CAMPO 4 1,Coast,138,1.02483,141.426,-7.08,4.6,0.6,,,,0,0,7,1
28.9816,-95.9635,110135,MARKHAM 2,MARKHAM 2 1,Coast,138,1.01994,140.752,-7.78,21.8,6.7,,,,0,0,7,1
28.7094,-96.2184,110136,PALACIOS 3,PALACIOS 3 1,Coast,138,1.02465,141.401,-1.2,9.5,3.09,,,,0,0,7,1
29.7783,-95.9684,110137,PATTISON 1,PATTISON 1 1,Coast,138,1.02883,141.979,-16.89,14.2,2.34,,,,0,0,7,1
28.9708,-95.9589,110138,BAY CITY 4,BAY CITY 4 1,Coast,138,1.01909,140.634,-7.21,14.9,5.3,,,,0,0,7,1
29.1419,-96.6782,110139,EDNA 3,EDNA 3 1,Coast,138,1.03554,142.904,-3.23,0.48,0.08,,,,0,0,7,1
29.8888,-95.9792,110140,BROOKSHIRE 2,BROOKSHIRE 2 1,Coast,138,1.02964,142.09,-17.49,9.4,1.35,,,,0,0,7,1
29.7787,-96.1026,110141,SAN FELIPE 1,SAN FELIPE 1 1,Coast,138,1.03424,142.724,-17.61,18.1,4.97,,,,0,0,7,1
29.8062,-95.9065,110142,BROOKSHIRE 3,BROOKSHIRE 3 1,Coast,138,1.02357,141.253,-18.77,21.46,16.5,,,,0,0,7,1
29.7056,-96.1545,110143,SEALY 2,SEALY 2 1,Coast,138,1.03392,142.681,-17.57,6.3,0.9,,,,0,0,7,1
29.8191,-96.0787,110144,SAN FELIPE 2,SAN FELIPE 2 1,Coast,138,1.0361,142.982,-18.47,68.94,33.9,,,108.21,0,0,7,1
30.0043,-96.008,110145,PRAIRIE VIEW 1,PRAIRIE VIEW 1 1,Coast,138,1.01837,140.536,-14.34,1.88,0.38,,,,0,0,7,1
29.6016,-96.1754,110146,LISSIE 1,LISSIE 1 1,Coast,138,1.02407,141.322,-14.11,0.96,0.22,,,,0,0,7,1
29.8518,-95.8853,110147,BROOKSHIRE 4,BROOKSHIRE 4 1,Coast,138,1.02637,141.638,-19.34,6.5,0.83,,,,0,0,7,1
29.9359,-96.003,110148,BROOKSHIRE 5,BROOKSHIRE 5 1,Coast,138,1.02736,141.775,-17.32,2.86,0.22,,,,0,0,7,1
29.8338,-96.0009,110149,BROOKSHIRE 6,BROOKSHIRE 6 1,Coast,138,1.0321,142.43,-17.6,9.8,3.54,,,,0,0,7,1
30.1601,-95.8343,110150,HOCKLEY 1,HOCKLEY 1 1,Coast,138,1.03073,142.24,-18.85,5.2,1.58,,,,0,0,7,1
29.5695,-96.3166,110151,EAGLE LAKE 2,EAGLE LAKE 2 1,Coast,138,1.0211,140.912,-11.13,6.4,2.03,,,,0,0,7,1
29.9155,-96.0561,110152,BROOKSHIRE 7,BROOKSHIRE 7 1,Coast,138,1.02832,141.908,-17.11,4.07,0.53,,,,0,0,7,1
30.1228,-95.816,110153,HOCKLEY 2,HOCKLEY 2 1,Coast,138,1.02654,141.662,-19.65,5.4,1.95,,,,0,0,7,1
30.0384,-95.9381,110154,WALLER 1,WALLER 1 1,Coast,138,1.03265,142.506,-12.47,5.7,1.73,,,,0,0,7,1
29.9893,-95.9296,110155,WALLER 2,WALLER 2 1,Coast,138,1.03076,142.245,-13.45,4.9,1.73,,,38.89,0,0,7,1
29.7444,-96.0428,110156,PATTISON 2,PATTISON 2 1,Coast,138,1.03045,142.202,-16.75,4.6,0.75,,,,0,0,7,1
29.6168,-96.0683,110157,WALLIS 1,WALLIS 1 1,Coast,138,1.02375,141.278,-15.88,6.3,0.68,,,,0,0,7,1
29.7928,-95.8293,110158,KATY 1,KATY 1 1,Coast,138,1.0235,141.243,-20.97,2.86,0.75,,,,0,0,7,1
29.7843,-96.144,110159,SEALY 3,SEALY 3 1,Coast,138,1.03503,142.834,-16.72,2.79,0.98,,,,0,0,7,1
29.7629,-96.2186,110160,SEALY 4,SEALY 4 1,Coast,345,1.03862,358.325,-11.58,,,,,49.43,0,0,7,1
29.7629,-96.2186,110161,SEALY 4,SEALY 4 2,Coast,138,1.03853,143.317,-14.7,11.14,6.62,,,,0,0,7,1
29.8442,-95.2724,110162,GALENA PARK 1,GALENA PARK 1 1,Coast,138,1.02386,141.293,-24.82,,,,,,0,0,7,1
29.8442,-95.2724,110163,GALENA PARK 1,GALENA PARK 1 2,Coast,69,1.0189,70.304,-27.26,42.1,12.6,,,,0,0,7,1
29.9075,-95.3677,110164,HUMBLE 1,HUMBLE 1 1,Coast,69,1.00954,69.658,-27.87,30.2,11.5,,,,0,0,7,1
29.9407,-95.2604,110165,HUMBLE 2,HUMBLE 2 1,Coast,138,1.01343,139.853,-24.08,,,,,,0,0,7,1
29.9407,-95.2604,110166,HUMBLE 2,HUMBLE 2 2,Coast,69,1.01908,70.317,-27.31,37.9,5.7,,,,0,0,7,1
29.8873,-95.2812,110167,HUMBLE 3,HUMBLE 3 1,Coast,69,1.01627,70.123,-28,25.7,3.24,,,,0,0,7,1
29.8642,-95.3097,110168,HOUSTON 1,HOUSTON 1 1,Coast,69,1.00703,69.485,-28.48,26.4,5.6,,,,0,0,7,1
29.8915,-95.3343,110169,HUMBLE 4,HUMBLE 4 1,Coast,138,1.0198,140.733,-25.94,,,,,,0,0,7,1
29.8915,-95.3343,110170,HUMBLE 4,HUMBLE 4 2,Coast,69,1.0255,70.76,-27.96,40.2,11,,,,0,0,7,1
29.9289,-95.2827,110171,HUMBLE 5,HUMBLE 5 1,Coast,69,1.01547,70.067,-27.71,4.9,1.58,,,,0,0,7,1
29.9162,-95.3585,110172,HUMBLE 6,HUMBLE 6 1,Coast,138,1.00474,138.653,-25.76,,,,,,0,0,7,1
29.9162,-95.3585,110173,HUMBLE 6,HUMBLE 6 2,Coast,69,1.00732,69.505,-27.82,54.7,11.6,,,,0,0,7,1
29.8543,-95.3327,110174,HOUSTON 2,HOUSTON 2 1,Coast,138,1.01986,140.74,-25.57,,,,,,0,0,7,1
29.8543,-95.3327,110175,HOUSTON 2,HOUSTON 2 2,Coast,69,1.00459,69.317,-28.23,43.1,11.7,,,,0,0,7,1
29.9389,-95.3024,110176,HUMBLE 7,HUMBLE 7 1,Coast,138,1.00953,139.315,-25.04,,,,,,0,0,7,1
29.9389,-95.3024,110177,HUMBLE 7,HUMBLE 7 2,Coast,69,1.01207,69.832,-27.36,76.9,18.75,,,,0,0,7,1
29.8931,-95.314,110178,HUMBLE 8,HUMBLE 8 1,Coast,69,1.02891,70.995,-28.16,33.3,10.3,,,148.42,0,0,7,1
29.8228,-95.2937,110179,HOUSTON 3,HOUSTON 3 1,Coast,69,1.0118,69.815,-28.08,23.4,7.1,,,,0,0,7,1
29.8668,-95.5796,110180,KATY 2,KATY 2 1,Coast,69,1.02123,70.465,-25.49,10,2.18,,,,0,0,7,1
29.9182,-95.6527,110181,CYPRESS 1,CYPRESS 1 1,Coast,69,1.02101,70.45,-25.03,17.2,10.58,,,,0,0,7,1
29.8587,-95.5893,110182,KATY 3,KATY 3 1,Coast,69,1.01837,70.268,-25.68,6.4,1.95,,,,0,0,7,1
29.8658,-95.6098,110183,KATY 4,KATY 4 1,Coast,69,1.02366,70.633,-25.46,9.2,3.31,,,,0,0,7,1
29.8694,-95.6006,110184,KATY 5,KATY 5 1,Coast,69,1.0219,70.511,-25.46,5.3,1.28,,,,0,0,7,1
29.8991,-95.6793,110185,KATY 6,KATY 6 1,Coast,69,1.02928,71.021,-24.29,3.89,1.13,,,,0,0,7,1
29.8625,-95.7007,110186,KATY 7,KATY 7 1,Coast,69,1.02836,70.957,-24.63,5.3,0.83,,,,0,0,7,1
29.867,-95.5896,110187,KATY 8,KATY 8 1,Coast,69,1.02376,70.64,-25.44,16.9,7.94,,,29.98,0,0,7,1
29.8568,-95.6639,110188,KATY 9,KATY 9 1,Coast,138,1.02603,141.592,-21.48,,,,,,0,0,7,1
29.8568,-95.6639,110189,KATY 9,KATY 9 2,Coast,69,1.03376,71.33,-24.61,7.9,1.2,,,,0,0,7,1
29.8568,-95.6639,110190,KATY 9,KATY 9 3,Coast,18,1.02749,18.495,-22.14,,,,,,0,0,7,1
29.8568,-95.6639,110191,KATY 9,KATY 9 4,Coast,1,1.02749,1.027,-22.14,,,,,,0,0,7,1
29.8757,-95.5803,110192,CYPRESS 2,CYPRESS 2 1,Coast,69,1.02168,70.496,-25.41,6.4,1.58,,,,0,0,7,1
29.8577,-95.6009,110193,KATY 10,KATY 10 1,Coast,69,1.01983,70.368,-25.05,5.7,1.43,,,,0,0,7,1
29.8958,-95.623,110194,CYPRESS 3,CYPRESS 3 1,Coast,69,1.02706,70.867,-25.5,3.61,0.15,,,98.42,0,0,7,1
29.8805,-95.6148,110195,KATY 11,KATY 11 1,Coast,69,1.03231,71.229,-25.43,4.8,1.5,,,,0,0,7,1
29.8644,-95.6148,110196,KATY 12,KATY 12 1,Coast,69,1.02532,70.747,-25.44,2.41,0.53,,,,0,0,7,1
29.864,-95.6304,110197,KATY 13,KATY 13 1,Coast,69,1.02101,70.449,-24.95,8,2.71,,,,0,0,7,1
